Rank,ZIP_Code,Value
1,75225,"189,985"
2,75205,"188,396"
3,75054,"161,715"
4,75182,"157,500"
5,75214,"128,917"
6,75209,"126,121"
7,75229,"121,381"
8,75063,"117,583"
9,75244,"112,800"
10,75230,"109,864"
11,75218,"109,677"
12,75181,"107,266"
13,75039,"102,366"
14,75202,"101,500"
15,75201,"101,098"
16,75204,"93,007"
17,75219,"92,541"
18,75081,"90,953"
19,75206,"88,464"
20,75234,"86,585"
21,75137,"85,485"
22,75251,"84,791"
23,75207,"84,149"
24,75115,"83,386"
25,75001,"82,577"
26,75249,"81,024"
27,75006,"79,466"
28,75208,"76,502"
29,75057,"76,128"
30,75238,"75,498"
31,75043,"75,454"
32,75040,"73,537"
33,75062,"70,792"
34,75180,"70,695"
35,75149,"70,629"
36,75060,"69,708"
37,75226,"69,589"
38,75038,"69,013"
39,75041,"68,692"
40,75254,"67,903"
41,75223,"66,641"
42,75134,"66,134"
43,75150,"65,985"
44,75042,"63,531"
45,75061,"61,260"
46,75116,"60,835"
47,75235,"60,817"
48,75228,"59,617"
49,75227,"59,395"
50,75172,"58,894"
51,75220,"57,787"
52,75232,"57,315"
53,75253,"56,519"
54,75211,"56,377"
55,75212,"56,279"
56,75240,"56,056"
57,75231,"54,884"
58,75233,"54,635"
59,75224,"53,606"
60,75217,"52,987"
61,75241,"51,171"
62,75243,"50,357"
63,75246,"49,665"
64,75236,"49,077"
65,75203,"46,358"
66,75141,"45,474"
67,75237,"43,149"
68,75215,"41,388"
69,75216,"37,613"
70,75210,"28,739"
